SKU,Attribute Set
3000165,"sku=3000165001,color=01 -Gel Based,size=35 g / 1.23 oz|sku=3000165002,color=02 -Cream Based,size=35 g / 1.23 oz"
3000166,"sku=3000166001,color=FS22,size=3.5 g / 0.12 oz|sku=3000166002,color=DP1,size=3.5 g / 0.12 oz|sku=3000166003,color=DP2,size=3.5 g / 0.12 oz|sku=3000166004,color=P0,size=3.5 g / 0.12 oz|sku=3000166005,color=WS,size=3.5 g / 0.12 oz|sku=3000166006,color=FS28,size=3.5 g / 0.12 oz|sku=3000166007,color=FS29,size=3.5 g / 0.12 oz|sku=3000166008,color=IVO,size=3.5 g / 0.12 oz|sku=3000166009,color=N1,size=3.5 g / 0.12 oz|sku=3000166010,color=CHIN,size=3.5 g / 0.12 oz|sku=3000166011,color=303,size=3.5 g / 0.12 oz|sku=3000166012,color=N2,size=3.5 g / 0.12 oz"
3000167,"sku=3000167001,color=01 -D4,size=3.5 g / 0.12 oz|sku=3000167002,color=02 -D4&1/2,size=3.5 g / 0.12 oz|sku=3000167003,color=03 -D5,size=3.5 g / 0.12 oz|sku=3000167004,color=04 -DFD,size=3.5 g / 0.12 oz|sku=3000167005,color=05 -D64,size=3.5 g / 0.12 oz|sku=3000167006,color=06 -D31,size=3.5 g / 0.12 oz|sku=3000167007,color=07 -D32,size=3.5 g / 0.12 oz"
3000168,"sku=3000168001,color=01 -B4,size=9.5 g / 0.34 oz|sku=3000168002,color=02 -B4 &1/2,size=9.5 g / 0.34 oz|sku=3000168003,color=03 -B5,size=9.5 g / 0.34 oz|sku=3000168004,color=04 -BFD,size=9.5 g / 0.34 oz|sku=3000168005,color=05 -B64,size=9.5 g / 0.34 oz|sku=3000168006,color=06 -B30,size=9.5 g / 0.34 oz|sku=3000168007,color=07 -B31,size=9.5 g / 0.34 oz|sku=3000168008,color=08 -DREDB,size=9.5 g / 0.34 oz|sku=3000168009,color=09 -IVORY,size=9.5 g / 0.34 oz|sku=3000168010,color=10 -BJ4,size=9.5 g / 0.34 oz"
3000169,"sku=3000169001,color=01 -B4,size=30 g / 1.10 oz|sku=3000169002,color=02 -B4 &1/2,size=30 g / 1.10 oz|sku=3000169003,color=03 -B5,size=30 g / 1.10 oz|sku=3000169004,color=04 -BFD,size=30 g / 1.10 oz|sku=3000169005,color=05 -B64,size=30 g / 1.10 oz|sku=3000169006,color=06 -B30,size=30 g / 1.10 oz|sku=3000169007,color=07 -B31,size=30 g / 1.10 oz|sku=3000169008,color=08 -DREDB,size=30 g / 1.10 oz|sku=3000169009,color=09 -IVORY,size=30 g / 1.10 oz|sku=3000169010,color=10 -BJ4,size=30 g / 1.10 oz"
3000170,"sku=3000170001,color=01 -Whipped Vanilla,size=5.5 g / 0.19 oz|sku=3000170002,color=02 -Skin,size=5.5 g / 0.19 oz|sku=3000170003,color=03 -Sand,size=5.5 g / 0.19 oz|sku=3000170004,color=04 -Skin Peach,size=5.5 g / 0.19 oz|sku=3000170005,color=05 -Coffee Latte,size=5.5 g / 0.19 oz|sku=3000170006,color=06 -Beige,size=5.5 g / 0.19 oz|sku=3000170007,color=07 -Nutcracker,size=5.5 g / 0.19 oz|sku=3000170008,color=08 -Barely Nude,size=5.5 g / 0.19 oz|sku=3000170009,color=09 -Melon,size=5.5 g / 0.19 oz|sku=3000170010,color=10 -Mocha,size=5.5 g / 0.19 oz|sku=3000170011,color=11 -Warm Tan,size=5.5 g / 0.19 oz|sku=3000170012,color=12 -Frozen Caramel,size=5.5 g / 0.19 oz|sku=3000170013,color=13 -Warm Honey,size=5.5 g / 0.19 oz|sku=3000170014,color=14 -Hot Chocolate,size=5.5 g / 0.19 oz"
3000171,"sku=3000171001,color=L11 -Light,size=3.94 g / 0.14 oz|sku=3000171002,color=L12 -Light,size=3.94 g / 0.14 oz|sku=3000171003,color=M21 -Medium,size=3.94 g / 0.14 oz|sku=3000171004,color=M23 -Medium,size=3.94 g / 0.14 oz|sku=3000171005,color=M25 -Medium,size=3.94 g / 0.14 oz|sku=3000171006,color=D31 -Dark,size=3.94 g / 0.14 oz|sku=3000171007,color=D32 -Dark,size=3.94 g / 0.14 oz|sku=3000171008,color=D33 -Dark,size=3.94 g / 0.14 oz|sku=3000171009,color=C43 -Orange,size=3.94 g / 0.14 oz"
3000172,"sku=3000172001,color=Go Light,size=1.5 g / 0.05 oz (6X)|sku=3000172002,color=Go Deep,size=1.5 g / 0.05 oz (6X)"
3000173,"sku=3000173001,color=303,size=30 g / 1.06 oz|sku=3000173002,color=Ivory,size=30 g / 1.06 oz|sku=3000173003,color=FS22,size=30 g / 1.06 oz|sku=3000173004,color=FS29,size=30 g / 1.06 oz|sku=3000173005,color=561,size=30 g / 1.06 oz|sku=3000173006,color=FS28,size=30 g / 1.06 oz|sku=3000173007,color=519,size=30 g / 1.06 oz|sku=3000173008,color=082,size=30 g / 1.06 oz|sku=3000173009,color=Chinese,size=30 g / 1.06 oz|sku=3000173010,color=518,size=30 g / 1.06 oz|sku=3000173011,color=515,size=30 g / 1.06 oz|sku=3000173012,color=517,size=30 g / 1.06 oz|sku=3000173013,color=516,size=30 g / 1.06 oz|sku=3000173014,color=NG -1,size=30 g / 1.06 oz"
3000174,"sku=3000174001,color=01  - (1.0),size=1.01 fl.oz / 30 ml|sku=3000174002,color=02  - (1.2),size=1.01 fl.oz / 30 ml|sku=3000174003,color=03  - (1.3),size=1.01 fl.oz / 30 ml|sku=3000174004,color=04  - (1.4),size=1.01 fl.oz / 30 ml|sku=3000174005,color=05  - (1.5),size=1.01 fl.oz / 30 ml|sku=3000174006,color=06  - (1.6),size=1.01 fl.oz / 30 ml|sku=3000174007,color=07  - (1.7),size=1.01 fl.oz / 30 ml|sku=3000174008,color=08  - (1.9),size=1.01 fl.oz / 30 ml|sku=3000174009,color=09  - (2.0),size=1.01 fl.oz / 30 ml|sku=3000174010,color=10  - (2.1),size=1.01 fl.oz / 30 ml|sku=3000174011,color=11  - (2.3),size=1.01 fl.oz / 30 ml|sku=3000174012,color=12  - (2.5),size=1.01 fl.oz / 30 ml|sku=3000174013,color=13  - (2.7),size=1.01 fl.oz / 30 ml|sku=3000174014,color=14  - (3.0),size=1.01 fl.oz / 30 ml|sku=3000174015,color=15  - (3.1),size=1.01 fl.oz / 30 ml|sku=3000174016,color=16  - (3.3),size=1.01 fl.oz / 30 ml|sku=3000174017,color=17  - (3.5),size=1.01 fl.oz / 30 ml|sku=3000174018,color=18  - (3.7),size=1.01 fl.oz / 30 ml|sku=3000174019,color=19  - (3.9),size=1.01 fl.oz / 30 ml|sku=3000174020,color=20  - (4.0),size=1.01 fl.oz / 30 ml|sku=3000174021,color=21  - (4.1),size=1.01 fl.oz / 30 ml|sku=3000174022,color=22  - (4.3),size=1.01 fl.oz / 30 ml|sku=3000174023,color=23  - (4.5),size=1.01 fl.oz / 30 ml|sku=3000174024,color=24  - (4.7),size=1.01 fl.oz / 30 ml|sku=3000174025,color=25  - (4.9),size=1.01 fl.oz / 30 ml|sku=3000174026,color=26  - (5.0),size=1.01 fl.oz / 30 ml"
3000175,"sku=3000175001,color=01,size=13 g / 0.46 oz|sku=3000175002,color=02,size=13 g / 0.46 oz|sku=3000175003,color=03,size=13 g / 0.46 oz|sku=3000175004,color=04,size=13 g / 0.46 oz|sku=3000175005,color=05,size=13 g / 0.46 oz|sku=3000175006,color=06,size=13 g / 0.46 oz|sku=3000175007,color=07,size=13 g / 0.46 oz|sku=3000175008,color=08,size=13 g / 0.46 oz|sku=3000175009,color=09,size=13 g / 0.46 oz|sku=3000175010,color=10,size=13 g / 0.46 oz|sku=3000175011,color=11,size=13 g / 0.46 oz|sku=3000175012,color=12,size=13 g / 0.46 oz"
3000176,"sku=3000176001,color=02,size=30 g / 1.06 oz|sku=3000176002,color=04,size=30 g / 1.06 oz|sku=3000176003,color=10,size=30 g / 1.06 oz"
3000177,"sku=3000177001,color=01,size=9 g / 0.32 oz|sku=3000177002,color=02,size=9 g / 0.32 oz|sku=3000177003,color=03,size=9 g / 0.32 oz|sku=3000177004,color=04,size=9 g / 0.32 oz|sku=3000177005,color=05,size=9 g / 0.32 oz|sku=3000177006,color=06,size=9 g / 0.32 oz|sku=3000177007,color=07,size=9 g / 0.32 oz|sku=3000177008,color=08,size=9 g / 0.32 oz|sku=3000177009,color=09,size=9 g / 0.32 oz|sku=3000177010,color=10,size=9 g / 0.32 oz"
3000178,"sku=3000178001,color=01 -Day Shine,size=10 g / 0.35 oz|sku=3000178002,color=02 -Evening Shine,size=10 g / 0.35 oz|sku=3000178003,color=03 -Sexy Glow,size=10 g / 0.35 oz|sku=3000178004,color=05 -Girly Glow,size=10 g / 0.35 oz"
3000179,"sku=3000179001,color=Cream -01,size=7.85 g / 0.28 oz|sku=3000179002,color=Cream -02,size=7.85 g / 0.28 oz|sku=3000179003,color=Powder -01,size=7.85 g / 0.28 oz"
3000180,"sku=3000180001,color=01,size=7.85 g / 0.28 oz|sku=3000180002,color=02,size=7.85 g / 0.28 oz|sku=3000180003,color=03,size=7.85 g / 0.28 oz|sku=3000180004,color=04,size=7.85 g / 0.28 oz|sku=3000180005,color=05,size=7.85 g / 0.28 oz|sku=3000180006,color=06,size=7.85 g / 0.28 oz|sku=3000180007,color=07,size=7.85 g / 0.28 oz|sku=3000180008,color=08,size=7.85 g / 0.28 oz|sku=3000180009,color=09,size=7.85 g / 0.28 oz|sku=3000180010,color=10,size=7.85 g / 0.28 oz|sku=3000180011,color=11,size=7.85 g / 0.28 oz|sku=3000180012,color=12,size=7.85 g / 0.28 oz|sku=3000180013,color=13,size=7.85 g / 0.28 oz|sku=3000180014,color=14,size=7.85 g / 0.28 oz|sku=3000180015,color=15,size=7.85 g / 0.28 oz|sku=3000180016,color=16,size=7.85 g / 0.28 oz|sku=3000180017,color=17,size=7.85 g / 0.28 oz|sku=3000180018,color=18,size=7.85 g / 0.28 oz|sku=3000180019,color=19,size=7.85 g / 0.28 oz|sku=3000180020,color=20,size=7.85 g / 0.28 oz|sku=3000180021,color=21,size=7.85 g / 0.28 oz"
