sku,brand_sku_code,hob_sku_code,ean_upc,store_view_code,attribute_set_code,product_type,categories,subcatagories,merchandise_categories,product_websites,name,manufacturer,gender,range,formulation,finish,coverage,skin_tone,skin_type,spf,hair_type,scalp_type,variant_type,pack_of,shade,color,size,product_details,description,short_description,how_to_use,key_ingredients,concern,hsn,shelf_life,article_type_sap,mc_code,country_of_origin,manufacture_info,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,additional_images,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_image_labels,configurable_variations
3000001001,40408,3000001,3346132004903,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,PERFUME,base," Intense Eau de Parfum-100-ml",Bentley,Men,,,,,,,,,,,,,,100,,"The fragrance is enriched with incense to lend the composition depth and fullness African geranium adds an elegant aromatic accompaniment to the rich accord.
Features
 Olfactory Family - Oriental Spicy
Top Notes - African Geranium, Black Pepper, Incense Sfe; Heart Notes - Leather Np, Labdanum Res, Clary Sage; Base Notes - Cedarwood, Patchouli, Sandalwood",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - African Geranium, Black Pepper, Incense Sfe; Heart Notes - Leather Np, Labdanum Res, Clary Sage; Base Notes - Cedarwood, Patchouli, Sandalwood",,33030010,60,ZHOD,H10301004,Switzerland,"Bently Fragrances Ltd., Ch-8125 Zollkerberg",,1,,"Catalog, Search",5950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000002001,40508,3000002,7640111505631,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,"EAU DE TOILETTE",base," Azure Eau de Toilette-100-ml",Bentley,Men,,,,,,,,,,,,,,100,,"Bentley for Men Azure makes an immediate impact with a contemporary burst of freshness: the top note is an invigorating, stimulating cocktail of fresh citrus, delicious fruity pineapple and the wonderful herbaceous aroma of violet leaves. It immediately transports you into fresh fields of blue.
Features
 Olfactory Family - Woody Aquatic
Top Notes - Lemon, Pineapple, Bergamot, Tangerine, Violet Leaves; Heart Notes - Pimento, Tea Accord, Lavender, Clary Sage; Base Notes - Cashmere Wood, Tonka Bean, Orcanox",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Lemon, Pineapple, Bergamot, Tangerine, Violet Leaves; Heart Notes - Pimento, Tea Accord, Lavender, Clary Sage; Base Notes - Cashmere Wood, Tonka Bean, Orcanox",,33030090,60,ZHOD,H10301003,Switzerland,"Bently Fragrances Ltd., Ch-8125 Zollkerberg",,1,,"Catalog, Search",5450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000003001,50560,3000003,7640163971286,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,"EAU DE TOILETTE",base," Infinite Rush Eau de Toilette-60-ml",Bentley,Men,,,,,,,,,,,,,,60,,"Bentley Infinite Rush eau de toilette's modernity lies in the exceptional quality of its raw materials, which perfectly combine and exude true luxury.

The freshness from the top notes evokes a rush of adrenaline, followed by a cocktail of spices to electrify the senses. Stirring woody base notes conjure up Bentley's characteristic universe of luxury, refinement and warmth
Features
 Olfactory Family - Woody Citrus Aromatic
Top Notes - Pink Berries, Rosemary, Mandarin; Heart Notes - Vetiver, Cedar, Elemi; Base Notes - Moss, Amber Wood, White Musk",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Pink Berries, Rosemary, Mandarin; Heart Notes - Vetiver, Cedar, Elemi; Base Notes - Moss, Amber Wood, White Musk",,33030090,60,ZHOD,H10301003,Switzerland,"Bently Fragrances Ltd., Ch-8125 Zollkerberg",,1,,"Catalog, Search",3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000004001,40360,3000004,7640111497554,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,"EAU DE TOILETTE",base," Eau de Toilette-60-ml",Bentley,Men,,,,,,,,,,,,,,60,,"Bentley Infinite Fragrance Eau de Toilette expresses its modernity through its exciting succession of scents: natural, fresh, citrus top notes combine with the green, aromatic hints of lavender and cedar.
Features
 Olfactory Family - Oriental Spicy
Top Notes - Cedrat, Lavendin, Cedar Leaf; Heart Notes - Bourbon Pepper, Geranium Bourbon, Violet Leaves; Base Notes - Patchouli, Vetiver From Haiti, Ambergris Accord",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Cedrat, Lavendin, Cedar Leaf; Heart Notes - Bourbon Pepper, Geranium Bourbon, Violet Leaves; Base Notes - Patchouli, Vetiver From Haiti, Ambergris Accord",,33030090,60,ZHOD,H10301003,Switzerland,"Bently Fragrances Ltd., Ch-8125 Zollkerberg",,1,,"Catalog, Search",3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000005001,50408,3000005,7640163970029,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,PERFUME,base," Infinite Intense Eau de Parfum-100-ml",Bentley,Men,,,,,,,,,,,,,,100,,"The Intense version of Bentley Infinite offers an even longer-lasting fragrance experience as this Eau de Parfum contains a particularly high percentage of aromas.
Features
 Olfactory Family - Woody Spicy Aromatic
Top Notes - Black Pepper, Lavender, Violet Leaf Absolute, Geranium Bourbon; Heart Notes - Nutmeg, Elemi, Siam Benzoin, Ambergris Accord; Base Notes - Patchouli, Vetiver From Haiti, Moss, Moroccan Cedarwood",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Black Pepper, Lavender, Violet Leaf Absolute, Geranium Bourbon; Heart Notes - Nutmeg, Elemi, Siam Benzoin, Ambergris Accord; Base Notes - Patchouli, Vetiver From Haiti, Moss, Moroccan Cedarwood",,33030090,60,ZHOD,H10301004,Switzerland,"Bently Fragrances Ltd., Ch-8125 Zollkerberg",,1,,"Catalog, Search",5950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000006001,61CE010000,3000006,20714156893,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,PERFUME,base," Happy Perfume-100-ml",Clinique,Women,,,,,,,,,,,,,,100,,"A hint of citrus. A wealth of flowers. A mix of emotions. Our best-selling women's fragrance interplays fresh, vibrant notes-ruby red grapefruit, bergamot-with soft, sensual ones-Hawaiian wedding flower, spring mimosa. Wear it and be happy.
Features
 Olfactory Family - Floral Fruity
Top Notes - Fresh apple, plums and bergamot; Heart Notes - Freesia, lily, rose and morning orchid; Base Notes - Musk and amber",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Fresh apple, plums and bergamot; Heart Notes - Freesia, lily, rose and morning orchid; Base Notes - Musk and amber",,33030090,60,ZHOD,H30103002,Belgium,"Estee Lauder Nv, Nijverheidsstraat 15, Be 2260, Oevel-Westerlo, Belgium",,1,,"Catalog, Search",7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000007001,62YL010000,3000007,20714080303,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,COLOGNE,base," Happy  Eau de Cologne-50-ml",Clinique,Men,,,,,,,,,,,,,,50,,"Cool. Crisp. A hint of citrus. A refreshing scent for men. Wear it and be happy. Team with Clinique Happy For Men and grooming favourites for longer-lasting scent.
Features
 Olfactory Family - Floral Fruity
Top Notes - Lime, green notes, mandarin orange, lemon and sea notes; Heart Notes - Freesia, jasmine, lily-of-the-valley and rose; Base Notes - Cypress, musk, guaiac wood and cedar",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Lime, green notes, mandarin orange, lemon and sea notes; Heart Notes - Freesia, jasmine, lily-of-the-valley and rose; Base Notes - Cypress, musk, guaiac wood and cedar",,33030010,60,ZHOD,H10301001,Belgium,"Estee Lauder Nv, Nijverheidsstraat 15, Be 2260, Oevel-Westerlo, Belgium",,1,,"Catalog, Search",4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000008001,6ACH010000,3000008,20714170479,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,PERFUME,base," Happy Heart Eau de Parfum-50-ml",Clinique,Women,,,,,,,,,,,,,,50,,"Clinique Happy Heart. A wealth of flowers; A hint of warmth. A deepening of emotions. With a heart of water hyacinth, brightened with Mandarin and blond woods. Wear it and have a happy heart.
Features
 Olfactory Family - Chypre Floral
Top Notes - Mandarin orange; Heart Notes - Water hyacinth; Base Notes - White wood",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Mandarin orange; Heart Notes - Water hyacinth; Base Notes - White wood",,33030090,60,ZHOD,H30103002,Belgium,"Estee Lauder Nv, Nijverheidsstraat 15, Be 2260, Oevel-Westerlo, Belgium",,1,,"Catalog, Search",5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000009001,635M010000,3000009,20714052959,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,PERFUME,base," Happy Perfume-50-ml",Clinique,Women,,,,,,,,,,,,,,50,,"A hint of citrus. A wealth of flowers. A mix of emotions. Our best-selling women's fragrance interplays fresh, vibrant notes-ruby red grapefruit, bergamot-with soft, sensual ones-Hawaiian wedding flower, spring mimosa. Wear it and be happy.
Features
 Olfactory Family - Floral Fruity
Top Notes - Fresh apple, plums and bergamot; Heart Notes - Freesia, lily, rose and morning orchid; Base Notes - Musk and amber",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Fresh apple, plums and bergamot; Heart Notes - Freesia, lily, rose and morning orchid; Base Notes - Musk and amber",,33030090,60,ZHOD,H30103002,Belgium,"Estee Lauder Nv, Nijverheidsstraat 15, Be 2260, Oevel-Westerlo, Belgium",,1,,"Catalog, Search",5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000010001,62YM010000,3000010,20714080310,,Default,simple,"Default Category/Shop/BATH & BODY,Default Category/Shop/BATH & BODY/FRAGRANCE",,COLOGNE,base," Happy  Eau de Cologne-100-ml",Clinique,Men,,,,,,,,,,,,,,100,,"Cool. Crisp. A hint of citrus. A refreshing scent for men. Wear it and be happy. Team with Clinique Happy For Men and grooming favourites for longer-lasting scent.
Features
 Olfactory Family - Floral Fruity
Top Notes - Lime, green notes, mandarin orange, lemon and sea notes; Heart Notes - Freesia, jasmine, lily-of-the-valley and rose; Base Notes - Cypress, musk, guaiac wood and cedar",,"Spray on pulse points: behind the ears and on your wrists.","Top Notes - Lime, green notes, mandarin orange, lemon and sea notes; Heart Notes - Freesia, jasmine, lily-of-the-valley and rose; Base Notes - Cypress, musk, guaiac wood and cedar",,33030010,60,ZHOD,H10301001,Belgium,"Estee Lauder Nv, Nijverheidsstraat 15, Be 2260, Oevel-Westerlo, Belgium",,1,,"Catalog, Search",7150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
