Your coupon was successfully applied.,Your coupon was successfully applied.
Your coupon is invalid.,Your coupon is invalid.
Your coupon was successfully removed.,Your coupon was successfully removed.
Coupon Already Applied,Coupon Already Applied
You canceled the coupon code(s).,You canceled the coupon code(s).
We cannot apply the coupon code.,We cannot apply the coupon code.
Remove,Remove
Removed,Removed
Removing...,Removing...
Remove Coupon Code,Remove Coupon Code
Apply Coupon Code,Apply Coupon Code
Apply,Apply
Apply Discount,Apply Discount
Enter discount code,Enter discount code
Applied Coupons,Applied Coupons
Applying...,Applying...
Applied,Applied
Coupon Already Applied,Coupon Already Applied
Apply Discount Code,Apply Discount Code
Enter discount code,Enter discount code
Coupon Invalid,Coupon Invalid
